check_id,feed_id,record_id,check_type,severity,status,resolution_owner,sla_hours
QA0001,FEED009,SIG0212,source conflict,medium,resolved,Product manager,48
QA0002,FEED012,SIG0283,stale value,medium,in review,Reporter,48
QA0003,FEED012,SIG0286,stale value,low,resolved,Data analyst,72
QA0004,FEED011,SIG0248,missing field,high,in review,Reporter,24
QA0005,FEED004,SIG0092,stale value,low,resolved,Data analyst,48
QA0006,FEED009,SIG0190,missing field,high,in review,Product manager,12
QA0007,FEED012,SIG0287,taxonomy mismatch,medium,in review,Product manager,24
QA0008,FEED012,SIG0285,source conflict,low,open,Reporter,72
QA0009,FEED012,SIG0290,taxonomy mismatch,medium,resolved,Product manager,24
QA0010,FEED006,SIG0130,taxonomy mismatch,high,resolved,Product manager,24
QA0011,FEED007,SIG0158,missing field,low,resolved,Research editor,12
QA0012,FEED008,SIG0177,low confidence,low,resolved,Research editor,48
QA0013,FEED009,SIG0204,stale value,medium,resolved,Product manager,72
QA0014,FEED004,SIG0071,low confidence,high,open,Reporter,24
QA0015,FEED003,SIG0061,stale value,critical,in review,Data analyst,48
QA0016,FEED006,SIG0118,buyer definition gap,medium,resolved,Research editor,12
QA0017,FEED010,SIG0229,stale value,medium,open,Data analyst,12
QA0018,FEED004,SIG0083,stale value,medium,in review,Product manager,48
QA0019,FEED003,SIG0052,source conflict,medium,open,Product manager,24
QA0020,FEED005,SIG0110,low confidence,high,open,Reporter,72
QA0021,FEED011,SIG0261,stale value,medium,resolved,Product manager,48
QA0022,FEED009,SIG0206,source conflict,low,in review,Reporter,24
QA0023,FEED008,SIG0174,buyer definition gap,low,open,Reporter,72
QA0024,FEED001,SIG0027,taxonomy mismatch,low,open,Reporter,72
QA0025,FEED012,SIG0276,taxonomy mismatch,low,in review,Reporter,48
QA0026,FEED009,SIG0200,source conflict,low,open,Data analyst,72
QA0027,FEED001,SIG0003,taxonomy mismatch,high,open,Product manager,72
QA0028,FEED003,SIG0047,missing field,low,in review,Product manager,48
QA0029,FEED004,SIG0075,low confidence,medium,in review,Product manager,48
QA0030,FEED010,SIG0242,missing field,critical,in review,Reporter,24
QA0031,FEED010,SIG0223,source conflict,low,in review,Research editor,72
QA0032,FEED002,SIG0046,stale value,low,in review,Research editor,24
QA0033,FEED002,SIG0033,buyer definition gap,low,resolved,Product manager,72
QA0034,FEED006,SIG0135,low confidence,medium,in review,Data analyst,12
QA0035,FEED005,SIG0114,taxonomy mismatch,high,open,Product manager,48
QA0036,FEED012,SIG0288,stale value,medium,open,Research editor,48
QA0037,FEED002,SIG0041,low confidence,medium,resolved,Research editor,24
QA0038,FEED001,SIG0020,missing field,high,open,Reporter,48
QA0039,FEED008,SIG0186,buyer definition gap,low,resolved,Reporter,24
QA0040,FEED005,SIG0099,missing field,medium,open,Research editor,12
QA0041,FEED010,SIG0239,stale value,critical,in review,Data analyst,12
QA0042,FEED005,SIG0103,taxonomy mismatch,high,open,Research editor,48
QA0043,FEED012,SIG0292,buyer definition gap,high,open,Reporter,24
QA0044,FEED008,SIG0168,taxonomy mismatch,medium,open,Product manager,48
QA0045,FEED006,SIG0134,stale value,low,resolved,Product manager,72
QA0046,FEED004,SIG0074,buyer definition gap,high,in review,Research editor,72
QA0047,FEED008,SIG0183,buyer definition gap,medium,in review,Product manager,72
QA0048,FEED007,SIG0153,missing field,medium,in review,Product manager,72
QA0049,FEED001,SIG0015,source conflict,high,open,Reporter,48
