signal_id,feed_id,feed_name,company_name,sector,signal_type,buyer_use_case,validation_status,schema_fields_filled,schema_fields_required,extraction_confidence_pct,commercial_value_score,triage_priority,next_action
SIG0229,FEED010,Private Capital Survey Benchmarks,LumenPay,Semiconductors,capacity_expansion,advisory,conflict found,5,8,54.0,91,137.1,hold for editorial context
SIG0259,FEED011,M&A Advisory Signal Feed,ScaleMint,Fintech,vendor_spend,advisory,conflict found,6,8,66.0,96,135.5,needs second source
SIG0176,FEED008,Fintech Partnership Timeline,Apex Data Centers,Private Markets,funding_event,corp dev,needs reporter review,5,8,66.0,96,129.5,ready for profile enrichment
SIG0282,FEED012,Data Center Capacity Tracker,PacketFoundry,Cloud Platforms,capacity_expansion,enterprise,conflict found,6,8,79.0,90,126.6,map to controlled taxonomy
SIG0128,FEED006,Cybersecurity Buyer Intent Feed,Cobalt Ledger,AI Infrastructure,go_to_market_shift,enterprise,needs reporter review,6,8,80.0,99,125.4,candidate for recurring feed
SIG0036,FEED002,AI Infrastructure Deal Timeline,ArcLight Data,Private Markets,vendor_spend,investor,conflict found,5,8,78.0,84,124.8,map to controlled taxonomy
SIG0012,FEED001,Enterprise AI Company Profiles,ArcLight Data,Private Markets,executive_move,corp dev,needs reporter review,6,8,86.0,99,124.1,hold for editorial context
SIG0015,FEED001,Enterprise AI Company Profiles,ArcLight Data,Private Markets,market_sentiment,corp dev,needs public corroboration,5,8,73.0,96,123.9,hold for editorial context
SIG0023,FEED001,Enterprise AI Company Profiles,VectorBridge,Private Capital,capacity_expansion,corp dev,needs reporter review,6,8,64.0,94,123.9,hold for editorial context
SIG0222,FEED010,Private Capital Survey Benchmarks,Beacon Infra,AI Infrastructure,customer_adoption,advisory,needs reporter review,5,8,74.0,91,122.7,candidate for recurring feed
SIG0021,FEED001,Enterprise AI Company Profiles,PacketFoundry,Cloud Platforms,go_to_market_shift,corp dev,needs reporter review,5,8,84.0,92,121.5,ready for profile enrichment
SIG0278,FEED012,Data Center Capacity Tracker,Tandem BioAI,Semiconductors,executive_move,enterprise,needs reporter review,5,8,86.0,92,121.1,hold for editorial context
SIG0158,FEED007,Semiconductor Supply Chain Profiles,FoundryStack,Private Markets,capacity_expansion,advisory,needs public corroboration,6,8,67.0,93,118.3,ready for profile enrichment
SIG0135,FEED006,Cybersecurity Buyer Intent Feed,Mosaic Workflows,AI Infrastructure,market_sentiment,enterprise,validated,5,8,63.0,98,118.1,hold for editorial context
SIG0272,FEED012,Data Center Capacity Tracker,Nexus Cloud,Private Markets,valuation_marker,enterprise,validated,5,8,59.0,97,118.0,ready for profile enrichment
SIG0251,FEED011,M&A Advisory Signal Feed,Helio Semis,Enterprise AI,executive_move,advisory,needs public corroboration,5,8,72.0,89,117.2,ready for profile enrichment
SIG0267,FEED011,M&A Advisory Signal Feed,ScaleMint,Fintech,vendor_spend,advisory,needs public corroboration,6,8,78.0,94,116.8,ready for profile enrichment
SIG0076,FEED004,Private Market Funding Tracker,BrightLayer AI,Cloud Platforms,product_launch,investor,conflict found,8,8,97.0,92,116.7,needs second source
SIG0209,FEED009,Creator Economy Company Index,Meridian Chips,Cybersecurity,partnership,investor,conflict found,8,8,83.0,88,115.7,hold for editorial context
SIG0145,FEED007,Semiconductor Supply Chain Profiles,ArcLight Data,Private Markets,vendor_spend,advisory,conflict found,5,8,66.0,72,115.5,candidate for recurring feed
SIG0017,FEED001,Enterprise AI Company Profiles,BrightLayer AI,Cloud Platforms,valuation_marker,corp dev,needs public corroboration,8,8,70.0,98,114.6,candidate for recurring feed
SIG0051,FEED003,Executive Move Watchlist,Prism Security,AI Infrastructure,market_sentiment,consulting,needs reporter review,7,8,79.0,92,114.6,ready for profile enrichment
SIG0066,FEED003,Executive Move Watchlist,Mosaic Workflows,AI Infrastructure,partnership,consulting,validated,5,8,75.0,97,114.5,needs second source
SIG0102,FEED005,Cloud Vendor Sentiment Benchmark,Tandem BioAI,Semiconductors,valuation_marker,enterprise,needs public corroboration,5,8,75.0,87,114.5,hold for editorial context
SIG0244,FEED011,M&A Advisory Signal Feed,Tandem BioAI,Semiconductors,product_launch,advisory,validated,5,8,84.0,99,114.5,hold for editorial context
SIG0024,FEED001,Enterprise AI Company Profiles,Cobalt Ledger,AI Infrastructure,executive_move,corp dev,needs public corroboration,5,8,89.0,90,114.4,map to controlled taxonomy
SIG0079,FEED004,Private Market Funding Tracker,FoundryStack,Private Markets,partnership,investor,needs public corroboration,5,8,72.0,86,114.2,map to controlled taxonomy
SIG0034,FEED002,AI Infrastructure Deal Timeline,TerraModel,Cybersecurity,capacity_expansion,investor,needs reporter review,7,8,54.0,86,114.1,needs second source
SIG0048,FEED003,Executive Move Watchlist,Pioneer GPU,Private Capital,product_launch,consulting,needs reporter review,5,8,70.0,81,113.6,candidate for recurring feed
SIG0011,FEED001,Enterprise AI Company Profiles,VectorBridge,Private Capital,capacity_expansion,corp dev,needs reporter review,7,8,75.0,90,113.5,map to controlled taxonomy
SIG0077,FEED004,Private Market Funding Tracker,Stride Cloud,Cloud Platforms,market_sentiment,investor,validated,5,8,71.0,95,113.4,ready for profile enrichment
SIG0205,FEED009,Creator Economy Company Index,SignalForge,AI Infrastructure,product_launch,investor,conflict found,7,8,71.0,79,113.4,ready for profile enrichment
SIG0103,FEED005,Cloud Vendor Sentiment Benchmark,Tandem BioAI,Semiconductors,funding_event,enterprise,needs public corroboration,5,8,68.0,84,113.0,hold for editorial context
SIG0161,FEED007,Semiconductor Supply Chain Profiles,ArcLight Data,Private Markets,executive_move,advisory,needs reporter review,5,8,96.0,86,112.9,needs second source
SIG0065,FEED003,Executive Move Watchlist,Harbor Robotics,Private Capital,market_sentiment,consulting,needs public corroboration,6,8,74.0,89,112.7,candidate for recurring feed
SIG0194,FEED009,Creator Economy Company Index,Pioneer GPU,Private Capital,executive_move,investor,needs public corroboration,6,8,47.0,83,112.7,map to controlled taxonomy
SIG0074,FEED004,Private Market Funding Tracker,VectorBridge,Private Capital,executive_move,investor,needs reporter review,7,8,77.0,89,112.1,hold for editorial context
SIG0101,FEED005,Cloud Vendor Sentiment Benchmark,SageCompute,Private Markets,executive_move,enterprise,conflict found,7,8,86.0,81,112.1,hold for editorial context
SIG0166,FEED008,Fintech Partnership Timeline,Helio Semis,Enterprise AI,go_to_market_shift,corp dev,needs reporter review,5,8,69.0,79,111.8,hold for editorial context
SIG0203,FEED009,Creator Economy Company Index,SignalForge,AI Infrastructure,customer_adoption,investor,validated,5,8,92.0,98,111.8,needs second source
SIG0062,FEED003,Executive Move Watchlist,Apex Data Centers,Private Markets,capacity_expansion,consulting,needs reporter review,7,8,83.0,90,111.7,ready for profile enrichment
SIG0182,FEED008,Fintech Partnership Timeline,TerraModel,Cybersecurity,capacity_expansion,corp dev,needs public corroboration,6,8,72.0,87,111.2,map to controlled taxonomy
SIG0174,FEED008,Fintech Partnership Timeline,Orchid Systems,AI Infrastructure,executive_move,corp dev,needs public corroboration,7,8,77.0,92,111.1,candidate for recurring feed
SIG0199,FEED009,Creator Economy Company Index,PacketFoundry,Cloud Platforms,executive_move,investor,needs reporter review,5,8,70.0,78,110.6,map to controlled taxonomy
SIG0235,FEED010,Private Capital Survey Benchmarks,LumenPay,Semiconductors,partnership,advisory,needs public corroboration,6,8,62.0,84,110.4,hold for editorial context
SIG0189,FEED008,Fintech Partnership Timeline,Kite Commerce,Cybersecurity,vendor_spend,corp dev,needs public corroboration,6,8,77.0,87,110.1,ready for profile enrichment
SIG0138,FEED006,Cybersecurity Buyer Intent Feed,Forma Cyber,Cybersecurity,market_sentiment,enterprise,needs public corroboration,6,8,68.0,85,110.0,ready for profile enrichment
SIG0068,FEED004,Private Market Funding Tracker,Copperline Fintech,Private Markets,partnership,investor,needs public corroboration,7,8,65.0,88,109.7,ready for profile enrichment
SIG0075,FEED004,Private Market Funding Tracker,Stride Cloud,Cloud Platforms,partnership,investor,needs public corroboration,6,8,74.0,86,109.7,map to controlled taxonomy
SIG0156,FEED007,Semiconductor Supply Chain Profiles,Cobalt Ledger,AI Infrastructure,capacity_expansion,advisory,conflict found,7,8,56.0,72,109.7,needs second source
SIG0255,FEED011,M&A Advisory Signal Feed,Tandem BioAI,Semiconductors,vendor_spend,advisory,needs reporter review,5,8,56.0,74,109.7,map to controlled taxonomy
