feed_id,feed_name,target_product,sector,primary_buyer,source_documents,extracted_signals,avg_commercial_value,schema_readiness_pct,extraction_confidence_pct,validation_coverage_pct,taxonomy_approved_pct,survey_strength_pct,open_high_risk_qa,readiness_score,launch_lane,recommended_next_step
FEED009,Creator Economy Company Index,company_profile,Creator Economy,investor,12,23,72.4,81.5,78.3,52.2,66.7,34.0,1,82.7,launch pilot,"Package sample file, buyer brief, and recurring refresh SLA."
FEED008,Fintech Partnership Timeline,deal_timeline,Fintech,corp dev,9,25,71.8,79.0,74.8,52.0,83.3,25.7,1,80.6,clean and package,Close high-severity QA and lock required fields.
FEED004,Private Market Funding Tracker,funding_tracker,Private Markets,investor,14,25,77.4,78.5,80.0,36.0,75.0,34.0,2,80.2,clean and package,Close high-severity QA and lock required fields.
FEED003,Executive Move Watchlist,executive_move,Cloud Platforms,consulting,14,21,75.9,76.2,77.1,42.9,75.0,27.3,2,79.2,clean and package,Close high-severity QA and lock required fields.
FEED011,M&A Advisory Signal Feed,buyer_signal,Dealmaking,advisory,11,25,75.6,78.0,77.7,48.0,66.7,44.0,3,78.8,clean and package,Close high-severity QA and lock required fields.
FEED012,Data Center Capacity Tracker,funding_tracker,AI Infrastructure,enterprise,8,25,78.6,79.0,79.2,44.0,66.7,39.3,2,78.5,clean and package,Close high-severity QA and lock required fields.
FEED006,Cybersecurity Buyer Intent Feed,buyer_signal,Cybersecurity,enterprise,10,26,73.1,78.8,78.3,46.2,66.7,21.7,1,78.3,clean and package,Close high-severity QA and lock required fields.
FEED002,AI Infrastructure Deal Timeline,deal_timeline,AI Infrastructure,investor,11,19,70.5,84.9,71.9,42.1,58.3,34.0,1,78.0,clean and package,Close high-severity QA and lock required fields.
FEED007,Semiconductor Supply Chain Profiles,company_profile,Semiconductors,advisory,13,22,73.3,82.4,77.3,22.7,83.3,34.0,3,76.4,clean and package,Close high-severity QA and lock required fields.
FEED005,Cloud Vendor Sentiment Benchmark,sentiment_benchmark,Cloud Platforms,enterprise,9,24,77.3,83.3,76.6,50.0,66.7,42.0,6,73.4,clean and package,Close high-severity QA and lock required fields.
FEED001,Enterprise AI Company Profiles,company_profile,Enterprise AI,corp dev,9,27,76.4,80.6,79.1,33.3,66.7,36.7,4,73.0,clean and package,Close high-severity QA and lock required fields.
FEED010,Private Capital Survey Benchmarks,survey_benchmark,Private Capital,advisory,8,31,72.2,79.8,76.2,38.7,58.3,27.7,5,67.3,enrich before selling,Add public corroboration and resolve taxonomy gaps.
